,Accuracy,AUC,F1 Measure,Mean CV on Train
alcoholic_12_rf_sig2_ts_scale,0.76875,0.8834375,0.7516778523489933,0.7900952380952381
alcoholic_12_rf_sig2_ts_scale_standard_scale,0.79375,0.8756250000000001,0.7843137254901962,0.7909841269841271
alcoholic_12_rf_sig2_ts_scale_standard_scale_time_aug,0.8,0.8748437499999999,0.7894736842105262,0.7806984126984127
alcoholic_12_rf_sig2_ts_scale_time_aug,0.7875,0.88359375,0.7702702702702703,0.7806984126984127
alcoholic_12_rf_ts_scale_standard_scale_time_aug,0.8,0.8748437499999999,0.7894736842105262,0.7806984126984127
alcoholic_12_svc_sig1,0.5,0.4887499999999999,0.6610169491525423,0.5013968253968254
alcoholic_12_svc_sig1_standard_scale,0.63125,0.6775,0.6289308176100629,0.542984126984127
alcoholic_12_svc_sig1_standard_scale_time_aug,0.63125,0.6775,0.6289308176100629,0.542984126984127
alcoholic_12_svc_sig1_time_aug,0.5,0.4887499999999999,0.6610169491525423,0.5013968253968254
alcoholic_12_svc_sig1_ts_scale,0.6,0.6896875,0.5844155844155844,0.4727619047619048
alcoholic_12_svc_sig1_ts_scale_standard_scale,0.6,0.658828125,0.5844155844155844,0.5154920634920634
alcoholic_12_svc_sig1_ts_scale_standard_scale_time_aug,0.6,0.658828125,0.5844155844155844,0.5163809523809524
alcoholic_12_svc_sig1_ts_scale_time_aug,0.5875,0.594375,0.6162790697674418,0.5142222222222221
alcoholic_12_svc_sig2,0.89375,0.9303125,0.8957055214723926,0.6735238095238095
alcoholic_12_svc_sig2_standard_scale,0.80625,0.8771875,0.8050314465408804,0.6968888888888889
alcoholic_12_svc_sig2_standard_scale_time_aug,0.825,0.91,0.8205128205128205,0.6916825396825397
alcoholic_12_svc_sig2_time_aug,0.89375,0.9303125,0.8957055214723926,0.6735238095238095
alcoholic_12_svc_sig2_ts_scale,0.8125,0.8743750000000001,0.8148148148148149,0.7553015873015873
alcoholic_12_svc_sig2_ts_scale_standard_scale,0.8125,0.86890625,0.8192771084337349,0.7483174603174604
alcoholic_12_svc_sig2_ts_scale_standard_scale_time_aug,0.8125,0.869375,0.8192771084337349,0.7502222222222223
alcoholic_12_svc_sig2_ts_scale_time_aug,0.8125,0.8728125,0.8148148148148149,0.7626031746031746
alcoholic_12_ts_knn_ts_scale,0.8,0.878671875,0.7974683544303798,0.721936507936508
alcoholic_12_ts_knn_ts_scale_time_aug,0.80625,0.8878125,0.8000000000000002,0.6987619047619048
alcoholic_12_ts_svc_ts_scale,0.85,0.94359375,0.8461538461538461,0.8532698412698414
alcoholic_12_ts_svc_ts_scale_time_aug,0.8625,0.94234375,0.8607594936708861,0.8515555555555556
alcoholic_1_ada_sig1,0.50625,0.5046093749999999,0.4060150375939849,0.428125
alcoholic_1_ada_sig1_standard_scale,0.5375,0.5229687500000001,0.4861111111111111,0.421875
