,alcoholic_1,alcoholic_1,alcoholic_1,alcoholic_1,alcoholic_12,alcoholic_12,alcoholic_12,alcoholic_12,alcoholic_21,alcoholic_21,alcoholic_21,alcoholic_21,EyesOpenShut,EyesOpenShut,EyesOpenShut,EyesOpenShut,FingerMovements,FingerMovements,FingerMovements,FingerMovements
,Accuracy,AUC,F1 Measure,Mean CV on Train,Accuracy,AUC,F1 Measure,Mean CV on Train,Accuracy,AUC,F1 Measure,Mean CV on Train,Accuracy,AUC,F1 Measure,Mean CV on Train,Accuracy,AUC,F1 Measure,Mean CV on Train
ada_sig1,0.50625,0.5046093749999999,0.4060150375939849,0.428125,0.6125,0.67,0.6309523809523809,0.4606349206349207,0.70625,0.72390625,0.7044025157232704,0.5852604166666666,0.5476190476190477,0.5555555555555556,0.5128205128205129,0.631904761904762,0.51,0.522609043617447,0.5148514851485149,0.5150138608870968
ada_sig1_standard_scale,0.5375,0.5229687500000001,0.4861111111111111,0.421875,0.59375,0.6268750000000001,0.5806451612903225,0.4606349206349207,0.7,0.709375,0.7272727272727272,0.5852604166666666,0.3571428571428571,0.4036281179138322,0.3414634146341463,0.6604761904761904,0.56,0.5430172068827531,0.5599999999999999,0.5150138608870968
ada_sig1_standard_scale_time_aug,0.5375,0.5229687500000001,0.4861111111111111,0.421875,0.59375,0.6268750000000001,0.5806451612903225,0.4730793650793651,0.7,0.709375,0.7272727272727272,0.5852604166666666,0.3809523809523809,0.4580498866213152,0.2352941176470588,0.650952380952381,0.56,0.5430172068827531,0.5599999999999999,0.5150138608870968
ada_sig1_time_aug,0.50625,0.5046093749999999,0.4060150375939849,0.428125,0.6125,0.67,0.6309523809523809,0.4730793650793651,0.70625,0.72390625,0.7044025157232704,0.5852604166666666,0.5,0.5306122448979591,0.4,0.650952380952381,0.51,0.522609043617447,0.5148514851485149,0.5150138608870968
ada_sig1_ts_scale,0.3625,0.37875,0.3544303797468355,0.40078125,0.55,0.5901562499999999,0.5764705882352941,0.5717460317460318,0.61875,0.68234375,0.6211180124223602,0.5220312500000001,0.5952380952380952,0.5566893424036281,0.5405405405405405,0.7161904761904762,0.49,0.4689875950380152,0.4848484848484848,0.4876984627016129
ada_sig1_ts_scale_standard_scale,0.41875,0.439140625,0.4363636363636363,0.41328125,0.55,0.563515625,0.5609756097560975,0.5717460317460318,0.60625,0.6174999999999999,0.6227544910179641,0.5220312500000001,0.5238095238095238,0.528344671201814,0.5,0.7161904761904762,0.49,0.4685874349739896,0.495049504950495,0.4876984627016129
ada_sig1_ts_scale_standard_scale_time_aug,0.41875,0.439140625,0.4363636363636363,0.396875,0.55,0.563515625,0.5609756097560975,0.5655238095238095,0.60625,0.6174999999999999,0.6227544910179641,0.5220312500000001,0.5238095238095238,0.528344671201814,0.5,0.7161904761904762,0.49,0.4685874349739896,0.495049504950495,0.4876984627016129
ada_sig1_ts_scale_time_aug,0.3625,0.37875,0.3544303797468355,0.37421875,0.55,0.5901562499999999,0.5764705882352941,0.545968253968254,0.61875,0.68234375,0.6211180124223602,0.5220312500000001,0.5952380952380952,0.5566893424036281,0.5405405405405405,0.7161904761904762,0.49,0.4689875950380152,0.4848484848484848,0.4876984627016129
ada_sig2,0.86875,0.93078125,0.8645161290322579,0.7390625,0.84375,0.94875,0.8427672955974843,0.7575238095238095,0.875,0.94078125,0.8734177215189874,0.76109375,0.4523809523809524,0.5034013605442177,0.2068965517241379,0.5609523809523809,0.53,0.5232092837134854,0.5436893203883495,0.5001575100806451
ada_sig2_standard_scale,0.8625,0.92375,0.8552631578947368,0.7390625,0.85,0.943125,0.8571428571428572,0.7575238095238095,0.8625,0.92796875,0.8641975308641976,0.76109375,0.5714285714285714,0.5759637188208616,0.5263157894736842,0.5609523809523809,0.52,0.4949979991996798,0.5471698113207548,0.5001575100806451
ada_sig2_standard_scale_time_aug,0.8625,0.91890625,0.8552631578947368,0.73359375,0.83125,0.93328125,0.8343558282208589,0.7446984126984126,0.86875,0.94171875,0.8711656441717791,0.8141666666666667,0.5952380952380952,0.5306122448979591,0.5405405405405405,0.5285714285714286,0.5,0.4861944777911164,0.5283018867924528,0.4683908770161291
ada_sig2_time_aug,0.875,0.93015625,0.8701298701298702,0.73359375,0.80625,0.9175,0.7973856209150326,0.7446984126984126,0.875,0.95515625,0.8701298701298702,0.8141666666666667,0.5,0.526077097505669,0.3636363636363636,0.5285714285714286,0.51,0.5126050420168067,0.5148514851485149,0.4683908770161291
ada_sig2_ts_scale,0.8625,0.9321875,0.8641975308641976,0.75,0.88125,0.9509375,0.8805031446540881,0.6732698412698412,0.89375,0.946875,0.8957055214723926,0.7547395833333334,0.4761904761904761,0.492063492063492,0.4761904761904761,0.4380952380952381,0.58,0.5990396158463385,0.5882352941176471,0.4660660282258065
ada_sig2_ts_scale_standard_scale,0.85,0.93328125,0.85,0.71015625,0.875,0.955625,0.8809523809523809,0.752952380952381,0.89375,0.94921875,0.8957055214723926,0.7563020833333334,0.5238095238095238,0.4852607709750567,0.5238095238095238,0.4380952380952381,0.58,0.5746298519407763,0.58,0.4660660282258065
ada_sig2_ts_scale_standard_scale_time_aug,0.8125,0.916875,0.8076923076923076,0.75859375,0.90625,0.9659375,0.9079754601226994,0.7359365079365079,0.925,0.95609375,0.927710843373494,0.7464062499999999,0.5238095238095238,0.5804988662131519,0.4117647058823528,0.469047619047619,0.5,0.4737895158063225,0.4565217391304348,0.4414881552419355
ada_sig2_ts_scale_time_aug,0.83125,0.91875,0.8301886792452831,0.75859375,0.88125,0.97140625,0.8789808917197451,0.7359365079365079,0.91875,0.95484375,0.920245398773006,0.7464062499999999,0.4761904761904761,0.6009070294784581,0.3124999999999999,0.469047619047619,0.51,0.4797919167667066,0.5050505050505051,0.4414881552419355
knn_sig1,0.58125,0.60328125,0.6081871345029239,0.47734375,0.54375,0.594375,0.6217616580310882,0.4624444444444444,0.60625,0.6540625000000001,0.6701570680628272,0.4990885416666667,0.4761904761904761,0.481859410430839,0.3124999999999999,0.7338095238095239,0.5,0.522609043617447,0.5098039215686274,0.5213772681451612
knn_sig1_standard_scale,0.56875,0.6121093749999998,0.6497461928934011,0.45859375,0.56875,0.61828125,0.6532663316582915,0.5563174603174603,0.61875,0.6467187499999999,0.6806282722513088,0.4988020833333333,0.5238095238095238,0.546485260770975,0.1666666666666666,0.4697619047619047,0.51,0.4957983193277311,0.5585585585585585,0.5261750252016129
knn_sig1_standard_scale_time_aug,0.56875,0.6121093749999998,0.6497461928934011,0.45859375,0.56875,0.61828125,0.6532663316582915,0.5563174603174603,0.61875,0.6467187499999999,0.6806282722513088,0.4988020833333333,0.5238095238095238,0.546485260770975,0.1666666666666666,0.4697619047619047,0.51,0.4957983193277311,0.5585585585585585,0.5261750252016129
knn_sig1_time_aug,0.58125,0.60328125,0.6081871345029239,0.47734375,0.54375,0.594375,0.6217616580310882,0.4624444444444444,0.60625,0.6540625000000001,0.6701570680628272,0.4990885416666667,0.4761904761904761,0.481859410430839,0.3124999999999999,0.7338095238095239,0.5,0.522609043617447,0.5098039215686274,0.5213772681451612
